Skin_Type,Skin_Issue,Product_Category,Recommended_Product,Usage,Frequency
Oily,Acne,Moisturizer,Neutrogena Hydro Boost Gel,Morning & Night,2 Times
Dry,Dryness,Cleanser,Bioderma Atoderm Gel,Morning & Night,2 Times
Sensitive,Redness,Spot Treatment,Avene Cicalfate+,Night,As Needed
Oily,Acne,Cleanser,CeraVe Foaming Cleanser,Morning & Night,2 Times
Dry,Flaky Skin,Spot Treatment,Cicaplast Baume B5,Night,As Needed
Sensitive,Dryness,Spot Treatment,Avene Cicalfate+,Night,As Needed
Dry,Wrinkles,Spot Treatment,La Roche-Posay Cicaplast,Night,As Needed
Oily,Blackheads,Sunscreen,Minimalist SPF50,Morning,Every Morning
Normal,Dark Spots,Serum,The Ordinary Alpha Arbutin,Morning or Night,1 Time
Oily,Acne,Sunscreen,La Roche-Posay Oil Control SPF50,Morning,Every Morning
Normal,Tan,Spot Treatment,Alpha Arbutin Serum,Night,As Needed
Oily,Large Pores,Spot Treatment,Benzac AC 2.5%,Night,As Needed
Combination,Acne,Spot Treatment,Niacinamide Spot Gel,Night,As Needed
Sensitive,Irritation,Spot Treatment,Cicaplast Baume B5,Night,As Needed
Oily,Acne,Serum,Minimalist Niacinamide 10%,Morning or Night,1 Time
Oily,Blackheads,Cleanser,Cetaphil Oily Skin Cleanser,Morning & Night,2 Times
Normal,Dull Skin,Moisturizer,Simple Hydrating Moisturizer,Morning & Night,2 Times
Normal,Tan,Serum,Minimalist Tranexamic Acid,Morning or Night,1 Time
Normal,Pigmentation,Spot Treatment,Vitamin C Spot Corrector,Night,As Needed
Sensitive,Dryness,Serum,La Roche-Posay Hyalu B5,Morning or Night,1 Time
Combination,Blackheads,Spot Treatment,Benzac AC 2.5%,Night,As Needed
Normal,Pigmentation,Serum,Minimalist Vitamin C,Morning or Night,1 Time
Normal,Dull Skin,Moisturizer,Simple Hydrating Moisturizer,Morning & Night,2 Times
Dry,Flaky Skin,Moisturizer,CeraVe Moisturizing Cream,Morning & Night,2 Times
Combination,Large Pores,Sunscreen,Re'equil Ultra Matte SPF50,Morning,Every Morning
Normal,Dark Spots,Serum,Minimalist Tranexamic Acid,Morning or Night,1 Time
Sensitive,Irritation,Spot Treatment,Avene Cicalfate+,Night,As Needed
Sensitive,Rosacea,Moisturizer,CeraVe Moisturizing Cream,Morning & Night,2 Times
Dry,Flaky Skin,Sunscreen,Bioderma Photoderm,Morning,Every Morning
