Age,Gender,Hydration_Level,Oil_Level,Sensitivity,Humidity,Temperature,Skin_Type,Sleep_Hours,Water_Intake_L,Exercise,Stress_Level,Diet,Smoking,Alcohol,Skin_Health_Score
58,Male,Low,Low,High,65.6,35.8,Dry,4,2.8,None,Low,Healthy,No,Never,44
59,Female,High,High,Low,73.3,32.0,Oily,6,1.8,Light,High,Healthy,No,Never,41
56,Female,High,Medium,Medium,57.2,37.5,Combination,7,1.2,Light,Medium,Junk,No,Never,42
20,Male,Low,Medium,Low,77.0,25.6,Combination,7,2.9,Light,Medium,Healthy,No,Frequently,62
22,Male,Medium,Medium,Low,39.7,27.2,Normal,6,4.0,Moderate,Medium,Mixed,Yes,Occasionally,48
20,Female,Low,High,Medium,68.1,22.3,Oily,7,2.2,Regular,Medium,Healthy,No,Never,82
55,Female,Medium,Medium,Medium,84.9,28.2,Sensitive,4,3.3,Regular,Low,Healthy,No,Never,75
42,Female,Medium,Medium,Low,83.3,35.2,Normal,4,3.0,None,High,Mixed,No,Never,24
45,Male,Medium,Medium,Low,82.2,35.5,Normal,6,3.9,Regular,Medium,Healthy,No,Occasionally,81
56,Male,Medium,Low,High,56.8,18.0,Dry,6,2.5,None,Medium,Junk,No,Never,30
54,Male,Low,Low,High,71.0,20.6,Dry,7,3.8,Light,Medium,Balanced,Yes,Frequently,40
30,Female,High,High,High,52.1,23.0,Oily,4,2.0,Moderate,Low,Healthy,No,Occasionally,65
22,Male,Low,High,Medium,65.1,22.3,Sensitive,5,3.2,Regular,Medium,Healthy,No,Never,69
24,Female,Medium,High,Low,64.2,30.9,Oily,4,2.2,Light,High,Healthy,No,Never,40
29,Female,Medium,Medium,Low,77.5,19.5,Normal,8,1.3,Moderate,Medium,Healthy,No,Occasionally,67
28,Female,Medium,Medium,Low,37.8,26.0,Normal,4,1.5,None,Medium,Junk,No,Never,14
53,Female,Low,High,High,57.5,33.0,Dry,4,1.2,Moderate,High,Balanced,No,Never,17
29,Male,Medium,Medium,Low,65.5,22.7,Normal,4,3.8,Moderate,Medium,Healthy,No,Occasionally,61
51,Female,Low,High,High,39.3,25.9,Sensitive,9,2.9,Moderate,High,Junk,No,Occasionally,38
24,Male,Medium,Medium,Low,55.4,20.6,Normal,6,3.6,Regular,Medium,Healthy,Yes,Occasionally,66
59,Male,Medium,Medium,Low,58.3,36.6,Normal,4,3.8,None,Low,Healthy,No,Never,56
31,Female,High,High,Medium,79.3,34.9,Oily,4,2.9,Regular,Low,Balanced,No,Frequently,60
46,Female,Medium,Medium,Low,31.7,36.9,Normal,9,3.7,Moderate,High,Balanced,No,Never,69
41,Male,Low,High,Medium,31.2,33.6,Sensitive,7,3.9,Regular,High,Healthy,No,Occasionally,66
44,Male,High,Medium,Medium,65.2,32.7,Dry,5,1.8,Regular,Low,Junk,Yes,Never,42
47,Female,High,Medium,Low,36.6,24.6,Oily,4,3.9,Light,Medium,Balanced,Yes,Never,37
25,Female,High,Low,Low,51.1,32.6,Dry,6,2.3,Regular,Low,Junk,No,Never,75
18,Male,Low,High,Low,43.8,35.0,Oily,9,3.7,Moderate,Medium,Balanced,No,Never,83
44,Female,Medium,Medium,Low,79.2,30.3,Normal,6,2.2,Regular,Low,Healthy,No,Occasionally,84
47,Female,Medium,High,High,72.8,21.4,Oily,4,1.9,Moderate,Medium,Healthy,Yes,Never,23
32,Male,Low,High,High,71.1,27.1,Dry,9,2.7,Regular,Medium,Balanced,No,Occasionally,80
24,Female,High,High,Medium,58.4,36.3,Oily,4,2.4,Regular,Medium,Junk,No,Frequently,37
57,Female,High,Medium,Medium,78.8,32.9,Combination,7,2.4,Regular,High,Healthy,No,Never,71
