Skin_Issue,Eat,Avoid,Water_Intake
Pimples,"Orange, Broccoli, Green Tea","Fast Food, Soft Drinks",3 L
Pimples,"Green Tea, Orange, Broccoli","Ice Cream, Fast Food",3 L
Acne,"Carrot, Pumpkin Seeds, Salmon","Fried Food, Junk Food",3 L
Redness,"Watermelon, Chamomile Tea, Leafy Greens","Spicy Food, Alcohol",3 L
Sensitive Skin,"Banana, Oats, Boiled Vegetables","Alcohol, Artificial Colors",3 L
Dark Spots,"Vitamin C Fruits, Strawberries, Spinach","Smoking, Sugary Snacks",3 L
Pimples,"Yogurt, Orange, Papaya","Ice Cream, Soft Drinks",3 L
Acne,"Pumpkin Seeds, Blueberries, Spinach","Chocolate (excess), Junk Food",3 L
Redness,"Chamomile Tea, Leafy Greens, Watermelon","Spicy Food, Alcohol",3 L
Acne,"Tomato, Salmon, Cucumber","Junk Food, Sugary Drinks",3 L
Pimples,"Yogurt, Broccoli, Papaya","Soft Drinks, Ice Cream",3 L
Blackheads,"Leafy Greens, Oats, Apple","Processed Snacks, Greasy Food",2.5 L
Sensitive Skin,"Rice, Banana, Oats","Spicy Food, Artificial Colors",3 L
Wrinkles,"Olive Oil, Nuts, Berries","Processed Meat, Excess Sugar",3.5 L
Whiteheads,"Carrot, Tomato, Almonds","Deep Fried Food, Sugary Foods",2.5 L
Whiteheads,"Almonds, Carrot, Tomato","Deep Fried Food, Sugary Foods",2.5 L
Blackheads,"Leafy Greens, Apple, Cucumber","Processed Snacks, Greasy Food",2.5 L
Sensitive Skin,"Boiled Vegetables, Rice, Oats","Spicy Food, Artificial Colors",3 L
Pimples,"Orange, Green Tea, Yogurt","Soft Drinks, Fast Food",3 L
Wrinkles,"Berries, Avocado, Nuts","Processed Meat, Excess Sugar",3.5 L
Redness,"Chamomile Tea, Leafy Greens, Cucumber","Spicy Food, Alcohol",3 L
Dark Spots,"Strawberries, Vitamin C Fruits, Spinach","Sugary Snacks, Smoking",3 L
Acne,"Blueberries, Pumpkin Seeds, Carrot","Fried Food, Junk Food",3 L
Pigmentation,"Amla, Tomato, Orange","Alcohol, Soft Drinks",3 L
Redness,"Cucumber, Chamomile Tea, Watermelon","Alcohol, Spicy Food",3 L
Pimples,"Broccoli, Green Tea, Orange","Fast Food, Soft Drinks",3 L
Sensitive Skin,"Oats, Boiled Vegetables, Rice","Spicy Food, Alcohol",3 L
Blackheads,"Cucumber, Leafy Greens, Apple","Processed Snacks, Greasy Food",2.5 L
Whiteheads,"Tomato, Almonds, Kiwi","Deep Fried Food, Sugary Foods",2.5 L
Dry Skin,"Sweet Potato, Avocado, Walnuts","Coffee (excess), Alcohol",3.5 L
Dark Spots,"Strawberries, Spinach, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Acne,"Tomato, Spinach, Salmon","Chips, Junk Food",3 L
Redness,"Watermelon, Leafy Greens, Chamomile Tea","Spicy Food, Alcohol",3 L
Sensitive Skin,"Boiled Vegetables, Oats, Rice","Artificial Colors, Spicy Food",3 L
Pimples,"Orange, Yogurt, Papaya","Ice Cream, Soft Drinks",3 L
Dry Skin,"Avocado, Walnuts, Sweet Potato","Coffee (excess), Alcohol",3.5 L
Dark Spots,"Strawberries, Spinach, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Blackheads,"Cucumber, Apple, Oats","Processed Snacks, Greasy Food",2.5 L
Pimples,"Yogurt, Orange, Green Tea","Soft Drinks, Fast Food",3 L
Pimples,"Papaya, Green Tea, Yogurt","Ice Cream, Soft Drinks",3 L
Whiteheads,"Kiwi, Carrot, Almonds","Deep Fried Food, Sugary Foods",2.5 L
Wrinkles,"Olive Oil, Fish, Nuts","Processed Meat, Excess Sugar",3.5 L
Blackheads,"Oats, Cucumber, Apple","Greasy Food, Processed Snacks",2.5 L
Dark Spots,"Strawberries, Spinach, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Redness,"Cucumber, Leafy Greens, Chamomile Tea","Spicy Food, Alcohol",3 L
Wrinkles,"Avocado, Nuts, Olive Oil","Excess Sugar, Processed Meat",3.5 L
Wrinkles,"Berries, Olive Oil, Nuts","Excess Sugar, Processed Meat",3.5 L
Whiteheads,"Almonds, Tomato, Carrot","Deep Fried Food, Sugary Foods",2.5 L
Dark Spots,"Strawberries, Spinach, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Redness,"Watermelon, Chamomile Tea, Leafy Greens","Spicy Food, Alcohol",3 L
Pimples,"Papaya, Broccoli, Green Tea","Fast Food, Ice Cream",3 L
Redness,"Chamomile Tea, Leafy Greens, Cucumber","Alcohol, Spicy Food",3 L
Blackheads,"Leafy Greens, Apple, Cucumber","Greasy Food, Processed Snacks",2.5 L
Pigmentation,"Amla, Tomato, Lemon","Alcohol, Soft Drinks",3 L
Pigmentation,"Amla, Bell Pepper, Tomato","Soft Drinks, Highly Processed Food",3 L
Wrinkles,"Olive Oil, Avocado, Fish","Processed Meat, Excess Sugar",3.5 L
Pigmentation,"Tomato, Bell Pepper, Lemon","Highly Processed Food, Alcohol",3 L
Redness,"Cucumber, Leafy Greens, Chamomile Tea","Spicy Food, Alcohol",3 L
Dark Spots,"Spinach, Strawberries, Vitamin C Fruits","Sugary Snacks, Smoking",3 L
Pigmentation,"Lemon, Orange, Tomato","Soft Drinks, Highly Processed Food",3 L
Pimples,"Broccoli, Yogurt, Green Tea","Soft Drinks, Fast Food",3 L
Whiteheads,"Tomato, Carrot, Kiwi","Sugary Foods, Deep Fried Food",2.5 L
Dark Spots,"Vitamin C Fruits, Strawberries, Spinach","Sugary Snacks, Smoking",3 L
Wrinkles,"Avocado, Fish, Berries","Excess Sugar, Processed Meat",3.5 L
Dark Spots,"Vitamin C Fruits, Strawberries, Spinach","Sugary Snacks, Smoking",3 L
Wrinkles,"Olive Oil, Berries, Avocado","Processed Meat, Excess Sugar",3.5 L
Redness,"Leafy Greens, Chamomile Tea, Watermelon","Spicy Food, Alcohol",3 L
Pigmentation,"Tomato, Lemon, Orange","Soft Drinks, Alcohol",3 L
